Taxonomy,AHC01,AHC02,AHC03,AHC04,AHC05,AHC06,AHC07,AHC08,AHC09,AHC10,AHC11,AHC12,AHC13,AHC14,AHC15,AHC16,AHC17,AHC18,AHC19,AHC20,AHC21,AHC22,AHC23,AHC24,AHC25,AHC26,AHC27,AHC28,AHC29,AHC30,AHC31,AHC32,AHC33,AHC34,AHC35,AHC36,AHC37,AHC38,AHC39,AHC40,AHC41,AHC42,AHC43,AHC90,AHC91,AHC92,AHC93,AHC94,AHC95,AHC96
Bacteria,7089,8616,8652,2998,18200,6306,7436,492,7476,2675,9954,4241,7197,5317,9806,7886,7007,8141,4999,3568,6066,6213,8431,10106,5356,9630,6092,5124,5221,11455,7452,5706,8821,5173,4165,2043,4705,4251,10209,10089,7175,5688,6934,3457,2427,3230,3402,1316,1456,6626
Bacteria (environmental samples),6629,6760,6406,1141,9899,3668,5317,19636,5128,3474,5980,3035,6488,2666,7312,4526,6376,6174,5358,1765,5270,4677,10223,5155,3496,4973,3232,2978,2910,6885,5783,6833,8408,8686,6739,2013,4221,4938,5677,8488,5153,4282,12967,3514,2933,3767,3904,1468,1869,4629
Bacteria;Proteobacteria,0,0,0,0,27,3,0,7,12,0,0,5,0,0,44,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,21,13,0,7,0,0,33,0,4,0,14,0,4,0,5,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia,0,102,37,0,299,89,21,11,41,8335,95,94,0,24,129,98,124,62,137,0,371,0,125,44,17,57,0,59,103,0,536,145,82,121,27,104,109,0,212,349,110,29,298,93,65,47,90,0,0,61
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,101,392,386,396,1073,483,294,18,502,196,547,259,531,1924,501,109,3076,417,285,587,1367,620,563,584,525,599,491,207,190,3312,434,188,1084,416,1516,59,356,295,1033,527,551,196,515,90,54,153,176,54,18,516
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Oligotropha,0,0,0,0,42,0,0,0,0,9,0,0,0,0,0,22,0,0,0,0,0,0,18,0,0,0,0,0,25,6,0,64,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium,569,818,373,295,1447,538,718,31,1395,169,816,861,682,512,1233,527,976,1100,966,419,927,760,815,895,696,793,673,628,646,1094,641,1038,716,904,457,372,871,707,1469,1611,877,1146,1097,446,256,303,457,118,234,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium/Agrobacterium_group;Agrobacterium;Agrobacterium_tumefaciens_complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium/Ensifer_group;Ensifer,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum (environmental samples),58,122,52,27,167,23,57,0,38,7,44,0,101,44,94,69,84,79,85,31,131,26,99,58,58,101,20,61,0,108,3,53,49,34,17,0,0,41,64,30,47,13,0,4,0,19,40,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,0,0,0,15,0,0,0,25,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,0,0,0,7,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera,0,0,0,0,0,0,0,2513,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,5,0,0,7,49,12,0,0,24,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,36,0,0,0,18,0,0,36,0,0,0,0,0,0,0,0,34,0,49,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
